YEAR,SIZE,ARINV,CATA,CR,ROA,LEV,LOSS,EMPLOY,BIG4,CHANT,OP,DELAY,LNFEE,EXPECTED,ABFEE
0,23.30311877,0.003024735,0.914150912,1.936746444,0.041041054,0.678840976,0,34.38022688,0,0,1,9.219544457,900000,685539.6242,214460.3758
0,20.65244459,0.120658211,0.826279115,3.032136963,0.011431956,0.274877244,0,16.73320053,0,0,1,10.77032961,1325000,-263313.7125,1588313.713
0,22.99833836,0.094834993,0.634062845,3.204217508,0.012360927,0.226262408,0,94.0106377,0,0,1,10.39230485,2000000,2985451.342,-985451.342
0,20.07116883,0.208820912,0.813400532,2.62100754,0.097551843,0.391236611,0,21.44761059,0,0,0,10.63014581,660000,-307810.937,967810.937
0,23.49344616,0.111544352,0.826202712,1.305886371,0.002261348,0.676899244,0,131.0686843,0,0,1,9.327379053,1450000,4186958.798,-2736958.798
0,22.2945112,0.465687574,0.824821062,1.358760678,0.007023101,0.617673172,0,29.12043956,0,0,1,10.67707825,955000,392823.0631,562176.9369
0,22.21348002,0.027895029,0.402512035,1.288597217,0.041727126,0.419242307,0,74.49161027,0,0,1,10.34408043,1180000,2020769.127,-840769.127
0,22.00006166,0.005278831,0.418313396,0.428245266,0.006298241,0.98172741,0,123.3977309,0,0,1,9.949874371,2000000,3619901.837,-1619901.837
0,23.79864313,0.129519155,0.66118051,1.324039345,0.01487899,0.579047501,0,91.76055798,0,0,1,9.433981132,1500000,2903321.001,-1403321.001
0,21.43771362,0.060166755,0.715541975,2.462888764,0.076301698,0.29179923,0,30.03331484,0,0,1,10.39230485,1330000,250160.9704,1079839.03
0,22.44953015,0.184399589,0.403200343,1.263680742,0.036400325,0.378105287,0,41.54515616,0,0,1,10.48808848,1370000,932764.1126,437235.8874
0,22.94232805,0.03413058,0.232221119,0.569975527,0.022002719,0.541766154,0,35.02855978,0,0,1,9.433981132,960000,793530.0193,166469.9807
0,21.57198517,0.063595013,0.223655895,0.467114423,0.027716002,0.628915372,0,25.3968502,0,0,1,10.67707825,750000,161070.9127,588929.0873
0,22.19707739,0.29334982,0.786099481,1.57882043,0.015261021,0.500872903,0,39.52214569,0,0,1,10.09950494,1030000,751921.3742,278078.6258
0,21.60292501,0.008815235,0.688361176,2.208270718,0.032032389,0.358625924,0,19.72308292,0,0,1,10.77032961,1000000,-30848.24385,1030848.244
0,23.76866572,0.102481482,0.442954739,1.302370345,0.009442875,0.389247246,0,70.16409338,0,0,1,7.745966692,1840000,2224789.601,-384789.601
0,25.13927075,8.11E-05,0.910525294,1.376415347,0.026795998,0.855772641,0,42.15447782,0,0,1,8.831760866,1230000,1289995.854,-59995.854
0,24.0447896,0.044537821,0.906182811,3.336300454,0.113077546,0.34508086,0,91.07140056,1,0,1,10,1550000,4567901.883,-3017901.883
0,24.98605015,0.039802002,0.162915606,0.600850735,0.016022568,0.581693547,0,83.40863265,0,0,1,10.77032961,3120000,2927690.921,192309.079
0,25.41006054,0.040810005,0.548627712,1.111358691,0.019756064,0.824242241,0,74.20916385,0,0,1,9.591663047,4650000,2571724.473,2078275.527
0,22.45947944,0.133248151,0.566282306,4.35600247,0.131403285,0.154370288,0,95.96353474,0,0,1,9.327379053,1780000,2851872.385,-1071872.385
0,24.00220697,0.046678149,0.098118045,0.403257377,0.002986798,0.480776336,0,58.99152482,0,0,1,9,1194000,1912774.994,-718774.994
0,22.63441936,0.081520998,0.255970921,2.564354079,0.047834397,0.175361991,0,34.2928564,0,1,1,9.433981132,550000,1094142.437,-544142.437
0,21.73567913,0.02432607,0.462551973,1.968920116,0.060252045,0.271909027,0,32.77193922,0,0,1,10.44030651,1200000,470262.0634,729737.9366
0,22.80152526,0.125502378,0.406861738,1.026312428,0.050302056,0.516107423,0,59.46427499,0,0,1,10.14889157,1950000,1572689.613,377310.387
0,22.78030439,0.140295031,0.571205967,2.276246752,0.040831867,0.257713944,0,43.08131846,0,0,1,9.591663047,1810000,1069221.604,740778.396
0,21.4562749,0.014898916,0.453153418,2.118852877,0.058653199,0.214829999,0,28.44292531,1,0,1,10.44030651,800000,2004366.445,-1204366.445
0,23.99601453,0.087444638,0.687027675,1.33862103,0.026188012,0.523479533,0,131.6852308,0,0,1,9,2450000,4329323.724,-1879323.724
